id,lat,lon,diam,depth
01-001107,72.787,-16.557,3.26,0.02
01-001110,66.773,-9.42,3.25,0.0
01-001113,67.507,15.944,3.25,0.01
01-001122,65.098,-28.87,3.23,0.0
01-001124,70.752,9.49,3.23,0.02
01-001125,66.858,-3.602,3.23,0.02
01-001128,67.386,-9.835,3.23,0.0
01-001132,67.407,-11.333,3.23,0.0
01-001139,68.251,-1.922,3.22,0.0
01-001140,66.504,-3.235,3.22,0.0
01-001146,67.528,-9.267,3.21,0.0
01-001147,65.986,4.972,3.21,0.03
01-001148,68.022,-16.669,3.21,0.01
01-001157,65.325,5.767,3.19,0.02
01-001158,67.261,-9.868,3.19,0.0
01-001163,71.356,15.742,3.18,0.01
01-001167,66.823,-6.268,3.17,0.0
01-001170,65.754,-4.704,3.17,0.0
01-001175,75.222,4.546,3.16,0.0
01-001177,66.829,-13.133,3.16,0.0
01-001179,75.478,-7.426,3.16,0.15
01-001182,65.518,-23.401,3.15,0.01
01-001186,65.786,6.134,3.15,0.02
01-001187,67.731,-10.633,3.15,0.0
01-001188,68.435,-17.167,3.15,0.02
01-001189,66.754,-3.204,3.14,0.01
01-001193,69.712,-11.644,3.14,0.0
01-001199,65.846,-3.086,3.13,0.0
01-001200,66.81,4.795,3.13,0.03
01-001202,76.303,-2.263,3.12,0.0
01-001203,72.284,27.292,3.12,0.01
01-001204,78.273,21.187,3.12,0.01
01-001209,71.624,-24.9,3.12,0.01
01-001211,75.896,6.579,3.12,0.02
01-001214,68.133,-11.532,3.11,0.04
01-001215,68.746,-9.026,3.11,0.02
01-001217,67.582,-13.166,3.1,0.0
01-001220,66.069,-21.034,3.1,0.0
01-001221,67.644,24.711,3.1,0.0
01-001224,70.425,-2.16,3.09,0.0
01-001227,65.072,-8.452,3.09,0.11
01-001228,68.435,-21.244,3.09,0.0
01-001229,68.32,-4.051,3.09,0.0
01-001231,68.254,-15.962,3.09,0.0
01-001234,66.826,1.809,3.08,0.0
01-001247,65.768,22.11,3.07,0.02
01-001248,66.633,-12.827,3.06,0.0
01-001252,66.49,-4.764,3.06,0.0
01-001255,76.231,24.491,3.05,0.01
01-001259,68.763,-11.291,3.05,0.0
01-001263,67.438,-2.476,3.05,0.01
01-001267,68.666,-7.837,3.04,0.0
01-001268,66.65,-2.83,3.04,0.0
01-001270,70.888,24.737,3.04,0.08
01-001274,66.777,-12.718,3.03,0.0
01-001276,68.238,-8.924,3.03,0.0
01-001277,65.904,-1.197,3.03,0.0
01-001278,68.258,-2.027,3.03,0.0
01-001279,69.092,-11.605,3.03,0.0
01-001281,67.631,-3.047,3.02,0.0
01-001282,65.539,3.633,3.02,0.03
01-001285,66.309,-5.925,3.02,0.06
01-001286,68.55,-13.683,3.02,0.02
01-001288,67.259,-14.275,3.02,0.0
01-001290,65.935,-27.942,3.02,0.0
01-001291,66.291,4.935,3.02,0.03
01-001295,65.635,-1.216,3.02,0.0
01-001297,65.235,10.245,3.01,0.03
01-001301,65.428,-28.82,3.01,0.0
01-001302,77.968,-26.65,3.01,0.01
01-001304,67.165,1.003,3.01,0.0
01-001306,68.416,-11.226,3.0,0.0
01-001307,68.516,-6.557,3.0,0.04
01-001311,65.702,-1.293,3.0,0.0
01-001314,71.619,0.347,3.0,0.0
01-001317,75.649,2.185,2.99,0.0
01-001318,68.217,-12.307,2.98,0.0
01-001321,67.925,-8.421,2.98,0.0
01-001322,67.976,-6.491,2.98,0.0
01-001328,74.508,3.157,2.96,0.01
01-001331,67.442,-3.613,2.96,0.0
01-001332,67.794,-3.762,2.96,0.0
01-001333,66.11,-4.569,2.96,0.0
01-001334,68.206,-1.675,2.96,0.0
01-001335,67.47,-0.805,2.95,0.0
01-001340,70.365,-19.845,2.95,0.0
01-001342,71.791,15.991,2.95,0.0
01-001344,67.806,13.773,2.94,0.0
01-001345,67.236,-5.107,2.94,0.0
01-001346,65.804,-13.944,2.94,0.0
01-001347,68.37,-4.007,2.94,0.0
01-001349,66.812,-18.073,2.94,0.0
01-001350,66.251,-3.437,2.94,0.0
01-001351,67.021,-3.577,2.93,0.01
01-001355,67.194,-1.769,2.93,0.0
01-001357,69.2,-11.265,2.93,0.0
01-001359,66.299,1.384,2.93,0.0
01-001370,68.321,-7.702,2.92,0.0
01-001371,77.758,12.264,2.92,0.0
01-001375,68.787,-6.016,2.91,0.0
01-001377,71.084,-25.339,2.91,0.0
01-001378,66.635,2.713,2.91,0.02
01-001379,68.279,-7.278,2.9,0.0
01-001380,67.602,-1.998,2.9,0.0
01-001382,78.029,15.783,2.9,0.0
01-001383,68.469,24.21,2.9,0.0
01-001385,65.776,-4.95,2.89,0.0
01-001390,74.147,-7.406,2.88,0.0
01-001394,65.233,-1.976,2.88,0.0
01-001396,68.908,1.818,2.88,0.0
01-001401,68.089,-5.834,2.87,0.0
01-001402,70.127,-11.247,2.87,0.01
01-001406,65.319,-14.758,2.86,0.0
01-001408,67.358,-10.451,2.86,0.0
01-001411,67.997,-2.05,2.86,0.0
01-001416,74.393,29.275,2.86,0.0
01-001420,67.743,-12.423,2.86,0.0
01-001423,65.294,24.986,2.85,0.0
01-001428,69.329,-7.95,2.85,0.0
01-001429,77.465,-0.38,2.85,0.0
01-001430,67.079,-12.873,2.85,0.0
01-001431,77.994,-23.003,2.84,0.0
01-001433,66.468,-4.623,2.83,0.0
01-001434,68.119,-10.122,2.83,0.0
01-001436,67.945,-2.076,2.83,0.0
01-001437,69.086,-14.335,2.83,0.0
01-001439,66.948,-7.852,2.83,0.0
01-001441,68.382,-14.013,2.82,0.0
01-001443,75.356,-10.418,2.82,0.0
01-001445,76.717,21.534,2.82,0.0
01-001446,67.268,-3.282,2.82,0.03
01-001447,65.023,-18.047,2.82,0.0
01-001449,77.06,18.245,2.81,0.02
01-001450,68.225,-6.049,2.81,0.0
01-001454,68.838,-12.411,2.81,0.0
01-001461,69.296,-16.058,2.8,0.0
01-001462,67.631,-7.442,2.8,0.0
01-001463,66.604,-11.414,2.8,0.0
01-001464,66.134,-15.239,2.8,0.0
01-001468,75.794,16.677,2.8,0.0
01-001470,68.847,-14.247,2.8,0.0
01-001472,68.726,11.141,2.8,0.0
01-001473,66.474,7.529,2.8,0.0
01-001476,66.208,-15.989,2.79,0.0
01-001478,67.035,18.42,2.79,0.0
01-001480,67.453,-11.575,2.79,0.0
01-001483,69.376,-10.983,2.79,0.0
01-001486,66.918,-0.098,2.78,0.0
01-001493,65.458,-19.524,2.77,0.0
01-001495,77.631,29.511,2.77,0.0
01-001496,66.586,-1.261,2.77,0.0
01-001497,67.275,-12.84,2.77,0.0
01-001499,68.212,-11.081,2.76,0.0
01-001500,67.919,-9.254,2.76,0.0
01-001501,77.023,16.418,2.76,0.0
01-001502,65.71,-1.904,2.76,0.0
01-001503,66.078,25.054,2.76,0.0
01-001508,67.84,-14.311,2.76,0.0
01-001512,67.66,-12.456,2.75,0.0
01-001515,67.624,-11.494,2.74,0.0
01-001517,67.239,2.7,2.74,0.0
01-001521,71.992,18.646,2.74,0.0
01-001530,66.849,-5.363,2.72,0.0
01-001531,77.488,23.766,2.72,0.0
01-001536,68.703,-11.099,2.72,0.0
01-001537,65.727,-4.946,2.72,0.0
01-001540,65.129,20.783,2.71,0.0
01-001541,69.28,-11.353,2.71,0.0
01-001542,66.545,-22.954,2.71,0.0
01-001545,69.575,-20.338,2.71,0.0
01-001549,67.111,-16.212,2.7,0.0
01-001550,68.266,-16.985,2.7,0.0
01-001559,71.205,9.53,2.69,0.0
01-001563,73.875,10.103,2.69,0.0
01-001564,66.299,18.423,2.69,0.0
01-001566,66.233,24.202,2.69,0.0
01-001567,68.659,-10.118,2.69,0.0
01-001572,71.74,26.692,2.68,0.0
01-001573,65.609,5.539,2.68,0.0
01-001574,67.104,-25.125,2.68,0.0
01-001575,73.408,16.842,2.68,0.0
01-001580,66.56,-2.372,2.68,0.0
01-001581,68.767,-6.835,2.68,0.0
01-001583,67.955,-6.108,2.67,0.0
01-001584,66.392,-16.141,2.67,0.0
01-001588,67.296,-15.15,2.67,0.01
01-001591,68.682,2.921,2.67,0.0
01-001592,67.845,-11.861,2.67,0.0
01-001610,70.966,-16.425,2.65,0.0
01-001616,68.959,21.153,2.65,0.0
01-001617,65.675,2.032,2.65,0.0
01-001620,66.438,-16.623,2.64,0.0
01-001622,70.124,-16.944,2.64,0.0
01-001625,75.502,5.675,2.63,0.0
01-001626,79.073,18.313,2.63,0.0
01-001627,65.995,-29.666,2.63,0.0
01-001629,69.164,-17.665,2.63,0.0
01-001632,73.098,-4.916,2.63,0.0
01-001633,66.683,-7.739,2.63,0.0
01-001634,67.756,0.758,2.63,0.0
01-001635,66.06,15.018,2.63,0.0
01-001640,66.457,-3.889,2.62,0.0
01-001649,71.847,29.17,2.61,0.0
01-001651,73.901,28.433,2.61,0.0
01-001652,68.017,-16.826,2.61,0.0
01-001657,65.321,21.121,2.6,0.0
01-001662,67.749,-10.254,2.6,0.0
01-001663,67.963,-6.926,2.6,0.0
01-001664,68.115,-10.853,2.6,0.0
01-001667,76.326,8.689,2.59,0.0
01-001670,66.139,-18.295,2.59,0.0
01-001672,67.029,22.197,2.59,0.0
01-001680,68.944,-27.572,2.58,0.0
01-001682,78.795,27.719,2.58,0.0
01-001684,68.314,-12.292,2.58,0.0
01-001687,68.834,-7.347,2.58,0.0
01-001688,67.907,1.675,2.58,0.0
01-001690,66.628,26.305,2.57,0.0
01-001693,68.572,-6.542,2.57,0.0
01-001695,67.802,-11.29,2.57,0.0
01-001698,65.472,-2.235,2.57,0.0
01-001701,65.978,17.967,2.56,0.0
01-001702,67.792,-15.334,2.56,0.0
01-001705,70.471,11.052,2.56,0.13
01-001707,68.611,-6.304,2.56,0.0
01-001714,73.499,-6.592,2.55,0.0
01-001715,75.929,27.313,2.55,0.0
01-001716,67.094,3.441,2.55,0.0
01-001717,66.029,-16.234,2.55,0.0
01-001719,67.623,-12.112,2.55,0.0
01-001720,74.575,10.764,2.55,0.0
01-001721,68.889,-10.673,2.55,0.0
01-001723,69.501,-11.433,2.55,0.0
01-001726,74.498,-12.496,2.54,0.0
01-001730,70.807,-6.126,2.54,0.0
01-001731,67.613,-14.689,2.54,0.0
01-001732,71.96,19.068,2.54,0.0
01-001735,69.808,28.349,2.54,0.0
01-001742,68.888,-11.855,2.53,0.0
01-001744,65.653,-17.26,2.52,0.0
01-001753,69.617,-14.068,2.51,0.0
01-001754,68.718,-6.581,2.51,0.0
01-001755,69.78,-18.529,2.51,0.0
01-001756,68.233,-20.85,2.51,0.0
01-001760,70.847,-28.083,2.51,0.0
01-001766,75.873,5.988,2.5,0.0
01-001770,68.877,27.319,2.5,0.0
01-001772,67.43,-10.004,2.49,0.0
01-001774,68.29,-12.186,2.49,0.0
01-001775,65.795,-2.711,2.49,0.0
01-001778,74.419,9.046,2.49,0.0
01-001780,69.115,-16.689,2.48,0.0
01-001781,66.193,-20.237,2.48,0.0
01-001782,66.998,-15.016,2.48,0.0
01-001786,67.803,-6.757,2.48,0.0
01-001788,67.833,-5.083,2.48,0.0
01-001789,69.441,-11.169,2.48,0.0
01-001790,67.005,3.291,2.48,0.0
01-001791,68.708,-18.603,2.47,0.0
01-001794,67.836,-12.453,2.47,0.0
01-001800,76.636,3.214,2.47,0.0
01-001806,69.295,-14.938,2.46,0.0
01-001811,71.656,-9.254,2.46,0.0
01-001819,68.305,-27.99,2.45,0.0
01-001823,75.237,-9.708,2.45,0.0
01-001826,68.181,-12.126,2.44,0.0
01-001827,69.165,0.216,2.44,0.0
01-001829,69.333,-10.787,2.44,0.0
01-001831,67.668,6.301,2.44,0.0
01-001832,67.877,17.635,2.44,0.0
01-001835,72.509,13.536,2.43,0.0
01-001842,65.865,-6.788,2.43,0.0
01-001845,66.7,-5.113,2.42,0.0
01-001848,76.021,4.524,2.42,0.0
01-001849,69.625,-10.912,2.42,0.0
01-001850,65.728,-13.926,2.42,0.0
01-001858,67.555,0.567,2.41,0.0
01-001860,70.76,-13.28,2.41,0.0
01-001865,68.325,-21.244,2.4,0.0
01-001880,77.816,21.494,2.39,0.0
01-001882,69.076,-9.717,2.39,0.0
01-001884,66.899,-12.86,2.39,0.0
01-001885,67.776,-11.878,2.39,0.0
01-001887,67.942,-5.182,2.39,0.0
01-001890,67.034,-12.362,2.38,0.0
01-001893,71.846,2.975,2.38,0.0
01-001896,66.605,-2.697,2.38,0.0
01-001897,73.411,18.121,2.37,0.0
01-001901,70.817,-1.852,2.37,0.0
01-001902,68.133,-0.956,2.37,0.0
01-001904,66.771,-15.945,2.37,0.0
01-001906,71.559,-3.786,2.37,0.0
01-001913,67.441,-15.423,2.36,0.0
01-001915,65.935,-17.994,2.36,0.0
01-001916,69.355,-15.638,2.36,0.0
01-001922,68.42,-9.124,2.36,0.0
01-001924,66.233,-1.384,2.36,0.0
01-001926,72.417,4.651,2.35,0.0
01-001930,67.14,-14.614,2.35,0.0
01-001931,65.27,5.425,2.35,0.0
01-001934,69.091,0.481,2.35,0.0
01-001938,66.688,-0.215,2.35,0.0
01-001939,67.68,-12.366,2.34,0.0
01-001940,68.016,-0.487,2.34,0.0
01-001941,78.391,-1.284,2.34,0.0
01-001942,68.442,-13.083,2.34,0.0
01-001945,66.688,-20.878,2.34,0.0
01-001947,68.106,-21.362,2.34,0.0
01-001950,67.242,2.363,2.33,0.0
01-001952,67.492,7.287,2.33,0.0
01-001955,68.686,-13.683,2.33,0.0
01-001958,65.245,-19.1,2.33,0.0
01-001961,71.174,2.702,2.32,0.0
01-001962,65.395,25.653,2.32,0.0
01-001965,66.272,-17.029,2.32,0.0
01-001966,67.991,-10.778,2.32,0.0
01-001973,65.442,-20.513,2.32,0.0
01-001974,66.45,29.045,2.32,0.0
01-001975,66.237,-16.705,2.32,0.0
01-001976,66.478,-1.762,2.32,0.0
01-001978,66.475,0.81,2.31,0.0
01-001982,68.002,-13.124,2.31,0.0
01-001985,73.125,-6.513,2.31,0.0
01-001989,67.96,14.241,2.3,0.0
01-001993,70.472,11.049,2.3,0.0
01-001995,67.81,0.3,2.3,0.01
01-001996,68.14,17.517,2.3,0.0
01-002001,66.015,21.201,2.29,0.0
01-002002,74.246,-12.841,2.29,0.0
01-002006,67.36,4.277,2.29,0.0
01-002007,66.509,7.133,2.29,0.0
01-002009,68.774,-4.963,2.29,0.0
01-002012,66.723,-10.951,2.28,0.0
01-002018,77.225,18.147,2.28,0.0
01-002019,68.837,-17.906,2.28,0.0
01-002023,66.603,-8.726,2.28,0.0
01-002032,67.896,17.994,2.28,0.0
01-002034,66.555,0.825,2.27,0.0
01-002037,68.906,-17.496,2.27,0.0
01-002038,67.234,-15.591,2.27,0.0
01-002043,66.802,-14.703,2.27,0.0
01-002045,69.77,25.78,2.27,0.0
01-002049,68.394,-6.387,2.26,0.0
01-002053,78.727,-17.281,2.26,0.0
01-002054,67.218,-20.841,2.26,0.0
01-002058,67.216,-9.846,2.25,0.0
01-002059,65.605,18.111,2.25,0.0
01-002060,71.925,-0.474,2.25,0.0
01-002061,68.103,-0.578,2.25,0.0
01-002062,67.818,-15.539,2.25,0.0
01-002065,67.589,-20.758,2.25,0.0
01-002067,66.39,-1.167,2.24,0.0
01-002070,66.057,-1.454,2.24,0.0
01-002075,65.163,-2.737,2.24,0.0
01-002076,68.293,-19.875,2.24,0.0
01-002078,66.448,-2.068,2.24,0.0
01-002079,72.951,-14.031,2.23,0.0
01-002082,68.171,7.274,2.23,0.0
01-002083,69.302,-11.878,2.23,0.0
01-002086,68.228,-5.148,2.23,0.0
01-002093,77.135,1.934,2.23,0.0
01-002094,66.947,1.736,2.23,0.0
01-002096,71.002,-1.841,2.23,0.0
01-002097,72.857,-5.087,2.22,0.0
01-002098,68.766,-7.021,2.22,0.0
01-002100,68.356,-3.283,2.22,0.0
01-002103,68.432,-3.944,2.22,0.0
01-002105,71.004,29.417,2.22,0.0
01-002107,69.525,-8.793,2.22,0.0
01-002120,69.137,-14.37,2.21,0.0
01-002125,75.376,-4.272,2.21,0.0
01-002128,66.9,-1.34,2.21,0.0
01-002132,68.025,-12.138,2.2,0.0
01-002140,68.098,-11.898,2.2,0.0
01-002144,66.041,-18.124,2.19,0.0
01-002146,74.103,5.634,2.19,0.0
01-002154,67.435,-5.158,2.19,0.0
01-002157,67.536,-2.804,2.18,0.0
01-002160,65.761,-18.823,2.18,0.0
01-002162,65.261,20.481,2.18,0.0
01-002165,65.588,-16.831,2.18,0.0
01-002166,69.701,-18.397,2.18,0.0
01-002168,67.636,-1.426,2.18,0.0
01-002169,69.434,-8.804,2.18,0.0
01-002174,67.071,0.142,2.18,0.0
01-002175,78.118,21.821,2.18,0.0
01-002176,71.716,14.495,2.18,0.0
01-002184,68.644,-5.923,2.17,0.0
01-002187,67.78,-1.331,2.17,0.0
01-002192,73.763,13.279,2.17,0.0
01-002198,68.708,-13.829,2.16,0.0
01-002202,66.349,12.372,2.16,0.0
01-002203,67.363,-4.267,2.16,0.0
01-002212,67.578,0.255,2.16,0.0
01-002220,67.671,-12.187,2.15,0.0
01-002228,65.513,19.322,2.15,0.0
